date,open,high,low,close,Adjusted_close,volume,dividend amount
2024-08-31,40.44,40.45,35.14,39.34,39.34,505965963.0,0.0
2024-07-31,39.91,44.44,39.675,40.31,40.31,868119885.0,0.0
2024-06-30,40.04,40.34,38.335,39.77,39.77,697131937.0,0.24
2024-05-31,37.21,40.08,36.65,39.99,39.7502,720910620.0,0.0
2024-04-30,37.94,38.495,34.15,37.01,36.7881,899483570.0,0.0
2024-03-31,34.53,38.0,34.035,37.92,37.6926,825077180.0,0.0
2024-02-29,33.93,34.65,32.35,34.52,34.313,748397867.0,0.24
2024-01-31,33.39,35.1,31.27,34.01,33.5726,933594754.0,0.0
2023-12-31,30.4,34.0694,30.33,33.67,33.237,863449771.0,0.0
2023-11-30,26.44,30.605,26.15,30.49,30.0979,891400344.0,0.24
2023-10-31,27.27,28.04,24.96,26.34,25.7982,1225427628.0,0.0
2023-09-30,28.76,29.44,27.01,27.38,26.8168,777451878.0,0.0
2023-08-31,31.84,31.94,28.18,28.67,28.0803,809878670.0,0.24
2023-07-31,28.7,32.85,28.1,32.0,31.0816,969011143.0,0.0
2023-06-30,27.76,29.8,27.34,28.69,27.8666,968715554.0,0.22
2023-05-31,29.5,29.54,26.8328,27.79,26.7803,1045809816.0,0.0
2023-04-30,28.64,30.93,27.46,29.28,28.2162,1025895355.0,0.0
2023-03-31,34.15,34.56,26.32,28.6,27.5609,2061226932.0,0.22
2023-02-28,35.2,37.0,33.84,34.3,32.8381,616793033.0,0.0
2023-01-31,33.23,35.775,32.89,35.48,33.9678,809281312.0,0.0
2022-12-31,37.5,37.69,31.35,33.12,31.7084,893060314.0,0.22
2022-11-30,36.44,38.6,35.41,37.85,36.02,700367359.0,0.0
2022-10-31,30.59,36.37,29.31,36.04,34.2975,981004754.0,0.0
2022-09-30,33.34,35.63,30.165,30.2,28.7398,859146085.0,0.22
2022-08-31,33.62,36.94,33.0,33.61,31.7761,819301541.0,0.0
2022-07-31,30.98,33.975,29.67,33.81,31.9652,814269073.0,0.0
2022-06-30,37.46,37.47,30.64,31.13,29.4314,996449647.0,0.21
2022-05-31,36.03,38.75,32.9561,37.2,34.9701,1107614816.0,0.0
2022-04-30,41.69,41.74,35.54,35.68,33.5412,1027651766.0,0.0
2022-03-31,43.71,44.63,38.17,41.22,38.7492,1307316332.0,0.21
2022-02-28,46.205,50.11,42.05,44.2,41.3462,941500631.0,0.0
2022-01-31,45.09,50.08,42.5876,46.14,43.1609,1222661378.0,0.0
2021-12-31,45.22,45.7,42.7,44.49,41.6175,1060458023.0,0.21
2021-11-30,48.1,48.69,44.36,44.47,41.405,894160678.0,0.0
2021-10-31,42.48,48.425,42.33,47.78,44.4869,917220669.0,0.0
2021-09-30,41.75,44.04,38.36,42.45,39.5243,1022362433.0,0.21
2021-08-31,38.4,42.84,37.55,41.75,38.6745,996160062.0,0.0
2021-07-31,41.56,41.7002,36.51,38.36,35.5342,1060301440.0,0.0
2021-06-30,42.95,43.49,38.49,41.23,38.1928,984281062.0,0.18
2021-05-31,40.87,43.255,39.78,42.39,39.1046,823509369.0,0.0
2021-04-30,38.83,41.13,37.41,40.53,37.3888,1029991507.0,0.0
2021-03-31,35.52,39.9678,35.24,38.69,35.6914,1378911428.0,0.18
2021-02-28,29.87,37.03,29.57,34.71,31.8627,947547469.0,0.0
2021-01-31,30.46,34.37,29.59,29.65,27.2178,1085648115.0,0.0
2020-12-31,28.74,30.545,28.14,30.31,27.8237,1025993552.0,0.18
2020-11-30,23.89,29.1,23.265,28.16,25.6901,1285651895.0,0.0
2020-10-31,24.27,25.83,23.12,23.7,21.6213,1297166599.0,0.0
2020-09-30,25.58,26.76,22.95,24.09,21.9771,1291005297.0,0.18
2020-08-31,25.03,27.75,24.69,25.74,23.3188,1143773619.0,0.0
2020-07-31,24.03,25.29,22.39,24.88,22.5397,1388009395.0,0.0
2020-06-30,24.28,29.01,23.02,23.75,21.5159,1795880553.0,0.18
2020-05-31,23.38,26.17,20.1,24.12,21.7053,1443328663.0,0.0
2020-04-30,19.93,25.32,19.51,24.05,21.6423,1633211039.0,0.0
2020-03-31,28.35,29.75,17.95,21.23,19.1046,2821890577.0,0.18
2020-02-29,33.0,35.45,27.7,28.5,25.4755,1072439193.0,0.0
2020-01-31,35.35,35.67,32.47,32.83,29.346,994138811.0,0.0
2019-12-31,33.45,35.72,32.55,35.22,31.4824,940375148.0,0.18
2019-11-30,31.7,33.6,31.37,33.32,29.6229,847357765.0,0.0
2019-10-31,29.44,32.23,27.16,31.27,27.8003,1211653667.0,0.0
2019-09-30,27.21,30.32,26.61,29.17,25.9333,1204483220.0,0.18
2019-08-31,30.55,31.07,26.21,27.51,24.302,1356703837.0,0.0
2019-07-31,29.48,31.06,28.86,30.68,27.1023,964158076.0,0.0
2019-06-30,26.59,29.27,26.4,29.0,25.6182,987172286.0,0.15
2019-05-31,30.56,30.89,26.48,26.6,23.3723,1063985488.0,0.0
2019-04-30,27.9,31.17,27.85,30.58,26.8694,1226771822.0,0.0
2019-03-31,29.33,30.14,26.61,27.59,24.2422,1240842809.0,0.0
2019-02-28,28.6,29.67,27.86,29.08,25.5514,972624054.0,0.15
2019-01-31,24.08,29.72,24.01,28.47,24.8871,1644937936.0,0.0
2018-12-31,28.99,29.04,22.66,24.64,21.5391,1812963622.0,0.15
2018-11-30,27.77,29.12,26.78,28.4,24.685,1119395494.0,0.0
2018-10-31,29.68,30.79,25.88,27.5,23.9027,1818210529.0,0.0
2018-09-30,30.91,31.37,29.42,29.46,25.6063,1036669560.0,0.15
2018-08-31,31.22,31.91,30.16,30.93,26.7539,1076259845.0,0.0
2018-07-31,28.08,31.45,27.63,30.88,26.7107,1315647329.0,0.0
2018-06-30,29.49,30.41,28.01,28.19,24.3839,1378950373.0,0.0
2018-05-31,29.92,31.36,28.43,29.04,25.1191,1414580848.0,0.12
2018-04-30,29.8,31.17,28.75,29.92,25.7738,1471293337.0,0.0
2018-03-31,32.07,33.05,29.01,29.99,25.8341,1477566545.0,0.12
2018-02-28,32.0,32.85,29.13,32.1,27.5467,1682938889.0,0.0
2018-01-31,29.75,32.45,29.61,32.0,27.4609,1397071010.0,0.0
2017-12-31,28.25,30.03,27.5,29.52,25.3327,1462951403.0,0.0
2017-11-30,27.64,28.72,25.81,28.17,24.1742,1341146107.0,0.12
2017-10-31,25.46,27.98,25.12,27.39,23.4051,1360366632.0,0.0
2017-09-30,23.9,25.64,22.75,25.34,21.6534,1450495887.0,0.0
2017-08-31,24.29,25.35,23.12,23.89,20.4143,1330249778.0,0.12
2017-07-31,24.46,25.11,23.61,24.12,20.5078,1361363217.0,0.0
2017-06-30,22.48,24.67,22.07,24.26,20.6268,1741199417.0,0.0
2017-05-31,23.52,24.31,22.09,22.41,19.0538,1616683382.0,0.075
2017-04-30,23.65,24.35,22.26,23.34,19.7784,1820219332.0,0.0
2017-03-31,25.37,25.8,22.16,23.59,19.9902,2336121890.0,0.075
2017-02-28,22.97,24.95,22.45,24.68,20.8526,1865993375.0,0.0
2017-01-31,22.6,23.55,22.01,22.64,19.1289,1916738424.0,0.0
2016-12-31,21.42,23.39,21.02,22.1,18.6727,2441591967.0,0.0
2016-11-30,16.56,21.19,16.28,21.12,17.8447,3121010150.0,0.075
2016-10-31,15.59,17.1,15.5,16.5,13.8918,1630286375.0,0.0
2016-09-30,16.15,16.15,14.81,15.65,13.1762,1825451001.0,0.0
2016-08-31,14.52,16.24,14.09,16.14,13.5887,1812825060.0,0.075
2016-07-31,13.19,14.7,12.45,14.49,12.1431,1706138915.0,0.0
2016-06-30,14.6,14.98,12.05,13.27,11.1207,2296408323.0,0.05
2016-05-31,14.58,15.15,13.8,14.79,12.353,1742720114.0,0.0
2016-04-30,13.47,15.3,12.75,14.56,12.1608,2022338858.0,0.0
2016-03-31,12.64,14.03,12.62,13.52,11.2922,2414142964.0,0.05
2016-02-29,14.05,14.09,10.99,12.52,10.4181,3568899302.0,0.0
2016-01-31,16.45,16.59,12.94,14.14,11.7662,2646648041.0,0.0
2015-12-31,17.52,17.89,16.495,16.83,14.0046,1770564213.0,0.05
2015-11-30,16.9,18.09,16.87,17.43,14.4628,1438634637.0,0.0
2015-10-31,15.52,17.44,14.63,16.78,13.9235,1848978388.0,0.0
2015-09-30,15.95,16.48,15.25,15.58,12.9278,1772635100.0,0.05
2015-08-31,17.91,18.07,14.6,16.34,13.5157,2029253166.0,0.0
2015-07-31,17.25,18.48,16.22,17.88,14.7896,1903762590.0,0.0
2015-06-30,16.58,17.72,16.47,17.02,14.0782,1657297830.0,0.05
2015-05-31,16.0,16.85,15.92,16.5,13.6079,1401945487.0,0.0
2015-04-30,15.42,16.05,15.25,15.93,13.1378,1462989596.0,0.0
2015-03-31,15.79,16.62,15.26,15.39,12.6925,1852314422.0,0.05
2015-02-28,15.27,16.79,15.12,15.81,12.9978,1926504809.0,0.0
2015-01-31,17.99,18.03,14.97,15.15,12.4552,2209776892.0,0.0
2014-12-31,16.92,18.21,16.59,17.89,14.7078,1711899606.0,0.05
2014-11-30,17.18,17.46,16.83,17.04,13.9686,941587198.0,0.0
2014-10-31,17.07,17.41,15.43,17.16,14.067,2207364910.0,0.0
2014-09-30,16.14,17.2,15.9,17.05,13.9768,1783506663.0,0.05
2014-08-31,15.18,16.46,14.84,16.09,13.149,1445234500.0,0.0
2014-07-31,15.38,16.23,15.13,15.25,12.4626,1499968200.0,0.0
2014-06-30,15.16,15.94,15.05,15.37,12.5606,1256722300.0,0.01
2014-05-31,15.14,15.31,14.3675,15.14,12.3647,1462446400.0,0.0
2014-04-30,17.28,17.4,14.86,15.14,12.3647,2245029800.0,0.0
2014-03-31,16.3,18.03,16.19,17.2,14.047,2337288800.0,0.01
2014-02-28,16.77,16.92,16.13,16.53,13.492,2055235400.0,0.0
2014-01-31,15.69,17.42,15.68,16.75,13.6716,2581396100.0,0.0
2013-12-31,15.84,15.97,15.06,15.57,12.7085,1661429900.0,0.01
2013-11-30,13.995,15.98,13.8,15.82,12.9043,2059558200.0,0.0
2013-10-31,13.85,14.72,13.68,13.97,11.3952,2047949700.0,0.0
2013-09-30,14.3,14.83,13.6,13.8,11.2566,1560502760.0,0.01
2013-08-31,14.845,14.97,13.98,14.12,11.5096,1933732700.0,0.0
2013-07-31,12.95,15.03,12.73,14.6,11.9008,2461055900.0,0.0
2013-06-30,13.69,13.73,12.13,12.86,10.4825,2590843100.0,0.01
2013-05-31,12.2,13.99,12.05,13.66,11.1261,2929147100.0,0.0
2013-04-30,12.15,12.54,11.23,12.31,10.0265,2917832000.0,0.0
2013-03-31,11.13,12.94,11.02,12.18,9.9206,3198847600.0,0.0
2013-02-28,11.41,12.42,10.98,11.23,9.1469,3261268700.0,0.01
2013-01-31,12.05,12.2,11.02,11.32,9.212,3342902200.0,0.0
2012-12-31,9.93,11.69,9.77,11.61,9.448,3505653600.0,0.01
2012-11-30,9.34,9.97,8.92,9.86,8.0162,3166055300.0,0.0
2012-10-31,8.87,9.65,8.85,9.32,7.5772,2981868800.0,0.0
2012-09-30,8.0,9.79,7.93,8.83,7.1788,3169072100.0,0.01
2012-08-31,7.35,8.4,7.1,7.99,6.4877,2151712055.0,0.0
2012-07-31,8.2,8.21,6.9,7.34,5.96,2814377800.0,0.0
2012-06-30,7.12,8.22,6.85,8.18,6.642,4061071900.0,0.0
2012-05-31,8.11,8.4,6.72,7.35,5.9681,4223024800.0,0.01
2012-04-30,9.54,9.78,7.95,8.11,6.5761,4327576600.0,0.0
2012-03-31,8.09,10.1,7.66,9.57,7.7599,6820535600.0,0.0
2012-02-29,7.25,8.35,7.21,7.97,6.4625,5963971300.0,0.01
2012-01-31,5.75,7.5,5.62,7.13,5.7742,6068763900.0,0.0
