date,open,high,low,close,Adjusted_close,volume,dividend amount
2024-08-31,510.0,514.0191,437.37,504.26,504.26,30604333.0,0.0
2024-07-31,454.51,517.26,454.01,509.03,509.03,52460029.0,0.0
2024-06-30,458.87,464.52,439.15,452.32,452.32,39208820.0,0.0
2024-05-31,426.69,471.48,425.19,456.52,456.52,48548752.0,2.75
2024-04-30,416.68,433.33,387.12,426.71,424.1195,54320015.0,0.0
2024-03-31,389.63,419.2,381.42,417.69,415.1542,45553019.0,0.0
2024-02-29,384.43,396.79,375.2,389.05,386.6881,44350405.0,2.75
2024-01-31,383.0,393.9099,372.07,384.01,379.0277,52406884.0,0.0
2023-12-31,341.46,387.76,340.42,385.77,380.7649,43720339.0,0.0
2023-11-30,303.33,344.755,302.8371,341.54,337.1087,41305119.0,2.75
2023-10-31,322.03,323.58,289.3568,303.61,297.2683,49102581.0,0.0
2023-09-30,329.67,346.19,318.98,323.57,316.8114,34255227.0,0.0
2023-08-31,354.0,358.73,318.0,327.71,320.8649,39258345.0,2.75
2023-07-31,322.41,361.62,312.7,355.87,345.5447,53395877.0,0.0
2023-06-30,324.51,347.73,310.56,322.54,313.1818,54501363.0,0.0
2023-05-31,344.05,347.46,317.3201,323.9,314.5023,39783863.0,2.5
2023-04-30,326.14,345.06,319.37,343.44,330.9212,41785952.0,0.0
2023-03-31,349.39,358.86,301.8731,327.11,315.1864,71667289.0,2.5
2023-02-28,359.1,379.68,351.33,351.65,336.4029,43627605.0,0.0
2023-01-31,345.5,374.35,336.1583,365.81,349.9489,72603405.0,0.0
2022-12-31,386.5,386.5,339.3,343.38,328.4915,42482471.0,0.0
2022-11-30,345.13,389.5781,342.59,386.15,369.407,54130177.0,2.5
2022-10-31,297.17,346.18,287.75,344.51,327.4525,50064639.0,0.0
2022-09-30,329.87,344.365,288.6193,293.05,278.5404,40867278.0,0.0
2022-08-31,331.73,358.62,327.22,332.67,316.1987,41440506.0,2.5
2022-07-31,295.27,335.18,277.84,333.39,314.5195,53587546.0,0.0
2022-06-30,327.0,329.27,278.15,297.02,280.2081,55861357.0,0.0
2022-05-31,305.81,329.72,293.9,326.85,308.3496,50820062.0,2.0
2022-04-30,333.93,347.35,304.71,305.49,286.4459,60210639.0,0.0
2022-03-31,337.4,346.765,318.55,330.1,309.5217,67748425.0,2.0
2022-02-28,356.13,377.4,326.9471,341.29,318.0758,55105997.0,0.0
2022-01-31,389.0,412.6599,326.23,354.68,330.555,85701388.0,0.0
2021-12-31,383.82,401.75,366.65,382.55,356.5294,54077756.0,2.0
2021-11-30,417.07,426.1582,377.26,380.99,353.1991,50659904.0,0.0
2021-10-31,379.44,419.81,372.82,413.35,383.1987,52462113.0,0.0
2021-09-30,413.16,417.5786,372.5,378.03,350.4551,50997930.0,0.0
2021-08-31,376.17,420.7599,371.77,413.51,383.347,48016798.0,2.0
2021-07-31,380.7,385.33,349.0,374.88,345.862,53705414.0,0.0
2021-06-30,377.7,393.2603,348.125,379.53,350.1521,61443722.0,0.0
2021-05-31,350.34,376.98,342.57,372.02,343.2234,54520072.0,1.25
2021-04-30,324.3,353.83,322.9652,348.45,320.4013,64001920.0,0.0
2021-03-31,325.0,356.85,316.465,327.0,300.6779,69669002.0,1.25
2021-02-28,272.66,335.8131,272.0,319.48,292.6545,55773557.0,0.0
2021-01-31,267.0,309.41,260.16,271.17,248.4009,73439739.0,0.0
2020-12-31,231.96,263.93,231.35,263.71,241.5673,57442823.0,1.25
2020-11-30,192.0,238.116,188.23,230.58,210.0875,61136669.0,0.0
2020-10-31,201.53,214.89,185.52,189.04,172.2393,71883235.0,0.0
2020-09-30,203.6,215.23,185.865,200.97,183.1091,79078275.0,0.0
2020-08-31,198.49,216.95,196.53,204.87,186.6625,56635594.0,1.25
2020-07-31,198.88,225.24,195.0,197.96,179.2727,84314496.0,0.0
2020-06-30,197.31,222.98,188.51,197.62,178.9648,77371590.0,0.0
2020-05-31,179.0,211.31,165.36,196.49,177.9415,68801578.0,1.25
2020-04-30,146.1,193.72,141.67,183.42,165.0553,84879655.0,0.0
2020-03-31,201.41,211.79,130.85,154.59,139.1119,133654601.0,0.0
2020-02-29,238.36,245.77,194.85,200.77,180.6681,61702542.0,1.25
2020-01-31,231.0,250.46,229.49,237.75,212.6218,70939129.0,0.0
2019-12-31,220.97,232.21,210.0,229.93,205.6283,46388859.0,0.0
2019-11-30,215.26,224.77,214.75,221.35,197.9551,39227455.0,1.25
2019-10-31,207.01,219.28,193.99,213.38,189.7559,61938905.0,0.0
2019-09-30,201.1,221.5,196.58,207.23,184.2868,46207190.0,0.0
2019-08-31,219.35,219.95,193.71,203.91,181.3344,43339349.0,1.25
2019-07-31,208.0,222.24,203.54,220.13,194.5631,52006203.0,0.0
2019-06-30,181.7,205.84,180.73,204.6,180.8368,44091137.0,0.0
2019-05-31,206.4,208.75,182.31,182.49,161.2948,51155259.0,0.85
2019-04-30,194.0,209.97,193.61,205.92,181.1846,63473424.0,0.0
2019-03-31,198.75,206.45,186.5,191.99,168.9279,62989366.0,0.0
2019-02-28,198.0,201.5,188.22,196.7,173.0721,49620041.0,0.8
2019-01-31,164.33,203.29,163.35,198.01,173.524,89710255.0,0.0
2018-12-31,194.0,195.66,151.7,167.05,146.3925,99798834.0,0.0
2018-11-30,225.76,234.06,188.12,190.69,167.1092,84619918.0,0.8
2018-10-31,226.22,231.4,208.4,225.37,196.6931,79102590.0,0.0
2018-09-30,237.76,239.45,223.8,224.24,195.7068,48637201.0,0.0
2018-08-31,238.5,245.08,226.57,237.81,207.5501,58754389.0,0.8
2018-07-31,219.75,239.73,218.89,237.43,206.534,62274387.0,0.0
2018-06-30,228.4,238.23,219.12,220.57,191.868,60868339.0,0.0
2018-05-31,237.51,245.88,224.09,225.88,196.487,63073517.0,0.8
2018-04-30,251.26,262.5,237.51,238.33,206.5957,76472995.0,0.0
2018-03-31,262.61,275.31,244.37,251.86,218.3241,61496306.0,0.0
2018-02-28,266.15,273.12,239.29,262.93,227.9201,72216003.0,0.75
2018-01-31,257.77,273.79,248.84,267.89,231.5592,79027133.0,0.0
2017-12-31,249.78,262.14,244.01,254.76,220.2099,52268728.0,0.0
2017-11-30,243.89,250.79,233.55,247.64,214.0555,53833750.0,0.75
2017-10-31,237.2,247.075,235.19,242.48,208.946,58281889.0,0.0
2017-09-30,224.55,237.6,214.64,237.19,204.3876,54915525.0,0.0
2017-08-31,227.09,235.83,215.75,223.74,192.7976,59765441.0,0.75
2017-07-31,224.46,230.64,218.0,225.33,193.5079,62661369.0,0.0
2017-06-30,212.61,228.79,210.79,221.9,190.5623,73553453.0,0.0
2017-05-31,224.9,228.89,209.62,211.26,181.425,71472646.0,0.75
2017-04-30,230.0,232.89,213.18,223.8,191.5363,81215610.0,0.0
2017-03-31,253.71,255.15,220.85,229.72,196.6029,90316874.0,0.0
2017-02-28,230.51,252.65,227.05,248.06,212.2989,65158487.0,0.65
2017-01-31,242.7,247.77,228.16,229.32,195.7476,83797509.0,0.0
2016-12-31,220.93,245.57,220.35,239.45,204.3946,96072290.0,0.0
2016-11-30,179.0,220.77,174.73,219.29,187.186,90415427.0,0.65
2016-10-31,160.5,178.85,160.25,178.24,151.6801,58812003.0,0.0
2016-09-30,170.0,172.42,157.77,161.27,137.2388,55333441.0,0.0
2016-08-31,158.81,170.24,155.37,169.46,144.2084,50546128.0,0.65
2016-07-31,148.49,164.09,142.6241,158.81,134.6287,65784975.0,0.0
2016-06-30,157.9,160.55,138.2,148.58,125.9564,84294514.0,0.0
2016-05-31,165.08,167.19,153.7401,159.48,135.1967,58429445.0,0.65
2016-04-30,156.46,168.9,149.37,164.11,138.5572,71361531.0,0.0
2016-03-31,150.95,158.9,148.75,156.98,132.5374,88688389.0,0.0
2016-02-29,160.41,161.0,139.05,149.53,126.2474,123711931.0,0.65
2016-01-31,175.79,177.5,151.12,161.56,135.8139,100170799.0,0.0
2015-12-31,191.22,193.84,172.9,180.23,151.5086,65452341.0,0.0
2015-11-30,188.32,199.9,186.56,190.02,159.7385,50694185.0,0.65
2015-10-31,174.4,191.96,169.87,187.5,157.0827,68716247.0,0.0
2015-09-30,184.68,191.75,167.49,173.76,145.5717,75850029.0,0.0
2015-08-31,205.75,207.78,172.1,188.6,158.0043,65665429.0,0.65
2015-07-31,211.63,214.61,203.2,205.07,171.2097,51968495.0,0.0
2015-06-30,207.32,218.77,205.654,208.79,174.3155,57900163.0,0.0
2015-05-31,198.45,209.68,194.01,206.19,172.1448,46689527.0,0.65
2015-04-30,187.94,202.87,186.96,196.42,163.4783,55718259.0,0.0
2015-03-31,190.0,194.25,182.71,187.97,156.4454,50251010.0,0.0
2015-02-28,172.99,193.28,172.26,189.79,157.9602,50147033.0,0.6
2015-01-31,195.3,195.73,172.32,172.41,143.0484,64065077.0,0.0
2014-12-31,188.0,198.06,182.4,193.83,160.8206,70271781.0,0.0
2014-11-30,190.35,192.68,187.5505,188.41,156.3236,40127102.0,0.6
2014-10-31,183.19,190.0,171.26,189.99,157.1342,82960188.0,0.0
2014-09-30,179.26,188.58,176.62,183.57,151.8244,52231493.0,0.0
2014-08-31,172.38,179.86,168.02,179.11,148.1357,45999300.0,0.55
