date,open,high,low,close,Adjusted_close,volume,dividend amount
2024-08-31,213.2,214.09,190.9,213.97,213.97,111254914.0,0.0
2024-07-31,202.84,217.56,202.1,212.8,212.8,197456051.0,1.15
2024-06-30,202.31,202.6,190.88,202.26,201.1305,174902140.0,0.0
2024-05-31,192.27,205.88,188.46,202.63,201.4985,195902413.0,0.0
2024-04-30,199.99,200.94,179.2,191.74,190.6693,222243015.0,1.15
2024-03-31,185.7,200.72,184.27,200.3,198.0176,165873396.0,0.0
2024-02-29,173.64,186.43,171.43,186.06,183.9398,154735805.0,0.0
2024-01-31,169.09,178.3,164.3,174.36,172.3732,231282257.0,1.05
2023-12-31,155.82,170.69,155.82,170.1,167.1379,182856749.0,0.0
2023-11-30,139.25,156.13,138.47,156.08,153.362,162197963.0,0.0
2023-10-31,144.83,153.11,135.19,139.06,136.6384,244073286.0,1.05
2023-09-30,146.09,150.25,142.65,145.02,141.4552,172247400.0,0.0
2023-08-31,157.43,158.0,145.46,146.33,142.733,169318304.0,0.0
2023-07-31,146.19,159.38,141.4401,157.96,154.0772,231274765.0,1.0
2023-06-30,136.52,146.0,135.445,145.44,140.8908,206576256.0,0.0
2023-05-31,142.26,143.37,131.81,135.71,131.4652,234843075.0,0.0
2023-04-30,129.91,141.78,126.22,138.24,133.916,242598953.0,1.0
2023-03-31,142.1,144.04,123.11,130.31,125.2526,458502954.0,0.0
2023-02-28,138.21,144.34,137.435,143.35,137.7865,169565594.0,0.0
2023-01-31,135.24,143.49,133.55,139.96,134.528,209965176.0,1.0
2022-12-31,138.18,138.66,128.41,134.1,127.9501,202051672.0,0.0
2022-11-30,126.87,138.18,125.91,138.18,131.843,226634577.0,0.0
2022-10-31,105.62,127.43,101.28,125.88,120.1071,318234727.0,1.0
2022-09-30,113.29,121.55,104.398,104.5,98.8125,248385561.0,0.0
2022-08-31,114.5,124.2389,111.0214,113.73,107.5401,258105181.0,0.0
2022-07-31,112.65,116.5,106.06,115.36,109.0814,239566728.0,1.0
2022-06-30,132.87,132.87,110.93,112.61,105.5439,268244292.0,0.0
2022-05-31,119.88,133.15,115.02,132.23,123.9328,313563637.0,0.0
2022-04-30,137.4,137.41,118.9,119.36,111.8704,301715359.0,1.0
2022-03-31,140.04,143.93,127.27,136.32,126.8151,389411084.0,0.0
2022-02-28,148.69,159.03,139.78,141.8,131.913,288616170.0,0.0
2022-01-31,159.86,169.81,139.57,148.6,138.2389,372752625.0,1.0
2021-12-31,161.0,163.39,151.84,158.35,146.4151,251947349.0,0.0
2021-11-30,172.04,172.33,158.29,158.83,146.8589,202826185.0,0.0
2021-10-31,164.0,172.96,160.06,169.89,157.0853,231684867.0,1.0
2021-09-30,160.22,169.3,150.49,163.69,150.4605,234833375.0,0.0
2021-08-31,152.03,163.83,149.52,159.95,147.0228,208067538.0,0.0
2021-07-31,156.26,159.1612,145.71,151.78,139.5131,280564062.0,0.9
2021-06-30,165.87,167.44,147.56,155.54,142.1492,356175526.0,0.0
2021-05-31,154.85,165.7,152.14,164.24,150.1002,248963573.0,0.0
2021-04-30,151.9,157.25,146.685,153.81,140.5682,288695123.0,0.9
2021-03-31,149.52,161.69,147.97,152.23,138.3139,399419120.0,0.0
2021-02-28,129.4,154.9,128.475,147.17,133.7164,228013577.0,0.0
2021-01-31,127.5,142.75,123.77,128.67,116.9076,318531351.0,0.9
2020-12-31,120.34,127.33,118.105,127.07,114.6328,273731938.0,0.0
2020-11-30,99.39,123.5,97.86,117.88,106.3423,333356715.0,0.0
2020-10-31,97.12,104.45,95.09,98.04,88.4442,325384466.0,0.9
2020-09-30,99.55,105.21,91.38,96.27,86.0653,390727873.0,0.0
2020-08-31,97.02,106.43,95.03,100.19,89.5698,319711942.0,0.0
2020-07-31,94.89,101.29,90.78,96.64,86.3961,432245245.0,0.9
2020-06-30,97.75,115.77,92.0,94.06,83.2807,535283093.0,0.0
2020-05-31,93.5,102.95,82.4,97.31,86.1582,497896125.0,0.0
2020-04-30,85.1,104.39,82.77,95.76,84.7859,531069912.0,0.9
2020-03-31,116.63,122.95,76.91,90.03,78.868,733124797.0,0.0
2020-02-29,132.66,139.29,112.66,116.11,101.7146,240662052.0,0.0
2020-01-31,139.79,141.1,129.71,132.36,115.9499,247371187.0,0.9
2019-12-31,132.31,140.08,128.59,139.4,121.3277,212561704.0,0.0
2019-11-30,126.2,132.43,126.02,131.76,114.6782,191121333.0,0.0
2019-10-31,118.4,127.42,110.52,124.92,108.725,262746367.0,0.9
2019-09-30,108.98,120.4,107.32,117.69,101.6171,229931101.0,0.0
2019-08-31,115.33,116.8,104.34,109.86,94.8565,259388278.0,0.0
2019-07-31,113.23,117.24,112.15,116.0,100.1579,232058280.0,0.8
2019-06-30,105.8,112.43,105.3,111.8,95.8518,248214909.0,0.0
2019-05-31,115.72,117.0,104.84,105.96,90.8449,230713192.0,0.0
2019-04-30,102.15,117.16,102.12,116.05,99.4956,252516936.0,0.8
2019-03-31,105.1,108.4,98.09,101.23,86.1368,306599704.0,0.0
2019-02-28,104.0,107.27,100.06,104.36,88.8002,224934830.0,0.0
2019-01-31,95.95,105.24,95.94,103.5,88.0684,325933984.0,0.8
2018-12-31,112.38,112.89,91.11,97.62,82.3864,425215738.0,0.0
2018-11-30,109.62,112.93,105.98,111.19,93.8388,283227819.0,0.0
2018-10-31,113.37,116.81,102.73,109.02,92.0074,433042829.0,0.8
2018-09-30,114.34,119.24,112.52,112.84,94.5749,232548930.0,0.0
2018-08-31,115.75,118.29,112.97,114.58,96.0333,234433424.0,0.0
2018-07-31,103.72,117.61,102.2,114.95,96.3434,298281434.0,0.56
2018-06-30,108.34,111.91,103.11,104.2,86.8644,308225670.0,0.0
2018-05-31,108.45,114.73,104.96,107.01,89.207,273649343.0,0.0
2018-04-30,109.96,115.15,106.08,108.78,90.6825,340150520.0,0.56
2018-03-31,115.48,118.75,106.65,109.97,91.2179,316114990.0,0.0
2018-02-28,115.77,119.33,103.98,115.5,95.8049,348734335.0,0.0
2018-01-31,107.63,117.35,106.81,115.67,95.946,293836674.0,0.56
2017-12-31,104.9,108.46,102.2,106.94,88.2514,276400891.0,0.0
2017-11-30,101.1,106.66,95.95,104.52,86.2543,240421558.0,0.0
2017-10-31,95.77,102.4201,94.96,100.61,83.0276,252942789.0,0.56
2017-09-30,91.25,95.88,88.08,95.51,78.3668,246369957.0,0.0
2017-08-31,92.49,95.2193,90.16,90.89,74.5761,247812342.0,0.0
2017-07-31,91.56,94.51,90.32,91.8,75.3228,267414146.0,0.5
2017-06-30,82.46,92.65,81.65,91.4,74.5924,330386146.0,0.0
2017-05-31,87.36,88.09,81.635,82.15,67.0434,280277698.0,0.0
2017-04-30,87.99,89.13,84.36,87.0,71.0016,320838104.0,0.5
2017-03-31,92.79,93.98,85.23,87.84,71.2789,371683551.0,0.0
2017-02-28,85.54,91.34,84.16,90.62,73.5348,271399837.0,0.0
2017-01-31,87.34,88.17,83.03,84.63,68.6741,343092750.0,0.48
2016-12-31,80.65,87.39,80.65,86.29,69.6365,343079104.0,0.0
2016-11-30,69.48,80.53,67.64,80.17,64.6976,458563987.0,0.0
2016-10-31,66.35,69.77,66.1,69.26,55.8932,304104835.0,0.48
2016-09-30,67.64,67.9,65.11,66.59,53.354,316595543.0,0.0
2016-08-31,64.15,67.77,63.38,67.5,54.0831,250230505.0,0.0
2016-07-31,61.52,64.98,58.76,63.97,51.2548,283935736.0,0.48
2016-06-30,64.76,65.92,57.05,62.14,49.4014,395361813.0,0.0
2016-05-31,63.69,66.2,60.59,65.27,51.8898,283951915.0,0.0
2016-04-30,59.02,64.66,57.065,63.2,50.2441,344712724.0,0.44
2016-03-31,56.76,60.97,56.67,59.22,46.7327,356781931.0,0.0
2016-02-29,59.16,59.65,52.5,56.3,44.4284,477854943.0,0.0
2016-01-31,63.95,64.13,54.66,59.5,46.9536,469707929.0,0.44
2015-12-31,67.34,68.0,63.5102,66.03,51.7488,316497652.0,0.0
