date,open,high,low,close,Adjusted_close,volume,dividend amount
2024-08-31,103.745,103.9899,90.94,101.44,101.44,80222031.0,0.0
2024-07-31,97.52,109.11,97.44,103.21,103.21,164425449.0,0.925
2024-06-30,98.16,98.34,93.99,97.19,96.3267,108304992.0,0.0
2024-05-31,91.28,103.25,90.73,97.84,96.9709,122135377.0,0.0
2024-04-30,94.16,94.735,85.01,90.84,90.0331,168801618.0,0.85
2024-03-31,86.22,94.73,84.426,94.16,92.4703,199349871.0,0.0
2024-02-29,87.19,88.17,83.09,86.04,84.496,143534666.0,0.0
2024-01-31,92.66,94.15,83.2,87.24,85.6745,203817400.0,0.85
2023-12-31,79.08,93.9501,78.74,93.25,90.6968,161940602.0,0.0
2023-11-30,71.17,80.445,70.7,79.34,77.1676,170276722.0,0.0
2023-10-31,81.1,81.465,69.42,70.82,68.8809,226403652.0,0.85
2023-09-30,86.0,89.47,81.025,81.67,78.4887,139408199.0,0.0
2023-08-31,91.2,91.43,82.74,85.15,81.8332,131160707.0,0.0
2023-07-31,86.34,95.57,82.9,91.56,87.9935,167987658.0,0.85
2023-06-30,82.58,89.65,81.47,85.4,81.3186,150802331.0,0.0
2023-05-31,90.19,90.52,80.74,81.76,77.8525,150282218.0,0.0
2023-04-30,87.95,91.82,83.2,89.97,85.6702,129472888.0,0.775
2023-03-31,95.96,99.2,81.72,87.8,82.8899,205268207.0,0.0
2023-02-28,96.95,100.99,96.26,96.5,91.1033,121184137.0,0.0
2023-01-31,85.635,99.1,84.83,97.33,91.8869,168742543.0,0.775
2022-12-31,93.06,95.16,84.06,85.02,79.6223,145899195.0,0.0
2022-11-30,83.25,93.25,82.55,93.07,87.1612,131120131.0,0.0
2022-10-31,80.05,84.74,74.67,82.17,76.9532,171009909.0,0.775
2022-09-30,84.67,91.04,78.35,79.01,73.3029,182787247.0,0.0
2022-08-31,83.66,92.29,82.96,85.22,79.0643,152432564.0,0.0
2022-07-31,75.76,84.63,72.05,84.3,78.2108,158632374.0,0.775
2022-06-30,86.44,86.78,72.23,76.06,69.9128,174795389.0,0.0
2022-05-31,80.59,87.53,76.75,86.14,79.1781,172235917.0,0.0
2022-04-30,88.14,92.93,80.31,80.59,74.0767,196861591.0,0.7
2022-03-31,90.0,94.91,81.97,87.4,79.6676,251910854.0,0.0
2022-02-28,102.96,109.73,88.53,90.74,82.7121,202652193.0,0.0
2022-01-31,99.33,106.47,92.94,102.54,93.4682,269672469.0,0.7
2021-12-31,96.98,103.16,94.21,98.16,88.8646,190305547.0,0.0
2021-11-30,103.89,105.335,93.88,94.82,85.8409,194107581.0,0.0
2021-10-31,97.93,103.98,96.68,102.78,93.0471,166952426.0,0.7
2021-09-30,104.54,105.95,96.25,97.31,87.4976,179632552.0,0.0
2021-08-31,96.72,105.81,94.83,104.43,93.8996,159622597.0,0.0
2021-07-31,91.92,97.205,86.95,95.98,86.3017,212917105.0,0.7
2021-06-30,92.39,94.27,83.91,91.69,81.8492,206015210.0,0.0
2021-05-31,83.11,91.3483,80.75,90.95,81.1886,194947708.0,0.0
2021-04-30,77.88,83.79,76.25,82.55,73.6902,229851900.0,0.35
2021-03-31,78.05,86.64,76.0,77.66,69.0361,261537221.0,0.0
2021-02-28,67.88,81.395,67.2701,76.87,68.3338,198251468.0,0.0
2021-01-31,69.28,77.76,66.845,67.05,59.6043,259829839.0,0.35
2020-12-31,63.12,68.97,61.86,68.53,60.6139,203108634.0,0.0
2020-11-30,48.875,63.96,48.44,61.83,54.6878,247897578.0,0.0
2020-10-31,48.75,52.61,46.42,48.15,42.5881,354556673.0,0.35
2020-09-30,51.92,54.38,45.86,48.35,42.4562,202187783.0,0.0
2020-08-31,49.22,53.42,48.72,52.26,45.8895,152699091.0,0.0
2020-07-31,48.41,53.51,47.02,48.88,42.9215,266501626.0,0.35
2020-06-30,44.52,51.85,43.95,48.3,42.1111,296556852.0,0.0
2020-05-31,38.35,47.32,35.53,44.2,38.5365,252483991.0,0.0
2020-04-30,31.68,41.85,31.16,39.43,34.3777,346304903.0,0.35
2020-03-31,45.11,46.92,27.2,34.0,29.3913,581088494.0,0.0
2020-02-29,52.64,56.66,43.69,45.03,38.9261,311521112.0,0.0
2020-01-31,51.2,57.57,50.46,52.26,45.1761,226779644.0,0.35
2019-12-31,49.58,51.44,47.44,51.12,43.9051,176089830.0,0.0
2019-11-30,46.52,49.98,46.46,49.48,42.4966,171937706.0,0.0
2019-10-31,42.51,47.16,39.3,46.05,39.5507,233693434.0,0.35
2019-09-30,41.04,45.45,40.35,42.67,36.3725,187799993.0,0.0
2019-08-31,44.42,44.74,38.76,41.49,35.3667,248017113.0,0.0
2019-07-31,44.59,45.77,43.02,44.56,37.9836,182752201.0,0.35
2019-06-30,40.71,44.57,40.43,43.81,37.0539,185026027.0,0.0
2019-05-31,48.2,48.62,40.6,40.69,34.4151,210435080.0,0.0
2019-04-30,42.78,48.67,42.75,48.25,40.8092,242780022.0,0.3
2019-03-31,42.35,44.89,40.4,42.2,35.4726,250727867.0,0.0
2019-02-28,42.3,42.86,40.12,41.98,35.2877,210779050.0,0.0
2019-01-31,39.02,45.11,38.76,42.3,35.5567,314951529.0,0.3
2018-12-31,45.07,46.14,36.74,39.65,33.0971,307652171.0,0.0
2018-11-30,45.82,46.95,42.54,44.39,37.0537,223856242.0,0.0
2018-10-31,46.92,47.93,42.88,45.66,38.1138,313773851.0,0.3
2018-09-30,48.86,50.37,46.4,46.57,38.6131,172175759.0,0.0
2018-08-31,50.94,51.18,47.02,48.83,40.487,188264616.0,0.0
2018-07-31,46.96,51.53,46.28,50.56,41.9214,187438410.0,0.3
2018-06-30,50.93,52.72,47.11,47.4,39.071,213615075.0,0.0
2018-05-31,51.39,55.64,49.51,50.14,41.3296,196362844.0,0.0
2018-04-30,53.83,55.39,51.58,51.62,42.5495,223003739.0,0.25
2018-03-31,55.89,59.38,51.97,53.96,44.2649,202147475.0,0.0
