,date,value
0,2024-06-01,287840.0
1,2024-05-01,284736.0
2,2024-04-01,275566.0
3,2024-03-01,305526.0
4,2024-02-01,268258.0
5,2024-01-01,252522.0
6,2023-12-01,299969.0
7,2023-11-01,286515.0
8,2023-10-01,278895.0
9,2023-09-01,308103.0
10,2023-08-01,290578.0
11,2023-07-01,261612.0
12,2023-06-01,324238.0
13,2023-05-01,288640.0
14,2023-04-01,272375.0
15,2023-03-01,312535.0
16,2023-02-01,256827.0
17,2023-01-01,254810.0
18,2022-12-01,290149.0
19,2022-11-01,260444.0
20,2022-10-01,276884.0
21,2022-09-01,291058.0
22,2022-08-01,282058.0
23,2022-07-01,254244.0
24,2022-06-01,297467.0
25,2022-05-01,268450.0
26,2022-04-01,265210.0
27,2022-03-01,298698.0
28,2022-02-01,256201.0
29,2022-01-01,249090.0
30,2021-12-01,277162.0
31,2021-11-01,252835.0
32,2021-10-01,255674.0
33,2021-09-01,267847.0
34,2021-08-01,261167.0
35,2021-07-01,236768.0
36,2021-06-01,270551.0
37,2021-05-01,243078.0
38,2021-04-01,243549.0
39,2021-03-01,274247.0
40,2021-02-01,233531.0
41,2021-01-01,220753.0
42,2020-12-01,242930.0
43,2020-11-01,220655.0
44,2020-10-01,233663.0
45,2020-09-01,238016.0
46,2020-08-01,221265.0
47,2020-07-01,206285.0
48,2020-06-01,214072.0
49,2020-05-01,175703.0
50,2020-04-01,157561.0
51,2020-03-01,220693.0
52,2020-02-01,227138.0
53,2020-01-01,213007.0
54,2019-12-01,221440.0
55,2019-11-01,204977.0
56,2019-10-01,227950.0
57,2019-09-01,230879.0
58,2019-08-01,230146.0
59,2019-07-01,210957.0
60,2019-06-01,233532.0
61,2019-05-01,222308.0
62,2019-04-01,223136.0
63,2019-03-01,256782.0
64,2019-02-01,213183.0
65,2019-01-01,212040.0
66,2018-12-01,244033.0
67,2018-11-01,228715.0
68,2018-10-01,241698.0
69,2018-09-01,250482.0
70,2018-08-01,251047.0
71,2018-07-01,215563.0
72,2018-06-01,261303.0
73,2018-05-01,241381.0
74,2018-04-01,232566.0
75,2018-03-01,267966.0
76,2018-02-01,220102.0
77,2018-01-01,204233.0
78,2017-12-01,245890.0
79,2017-11-01,227489.0
80,2017-10-01,228903.0
81,2017-09-01,238111.0
82,2017-08-01,226802.0
83,2017-07-01,198965.0
84,2017-06-01,260483.0
85,2017-05-01,221670.0
86,2017-04-01,211837.0
87,2017-03-01,250539.0
88,2017-02-01,207597.0
89,2017-01-01,192655.0
90,2016-12-01,229243.0
91,2016-11-01,213364.0
92,2016-10-01,231422.0
93,2016-09-01,230956.0
94,2016-08-01,221537.0
95,2016-07-01,197867.0
96,2016-06-01,230820.0
97,2016-05-01,217981.0
98,2016-04-01,221215.0
99,2016-03-01,243551.0
100,2016-02-01,211114.0
101,2016-01-01,199424.0
102,2015-12-01,230959.0
103,2015-11-01,216692.0
104,2015-10-01,228138.0
105,2015-09-01,231339.0
106,2015-08-01,218267.0
107,2015-07-01,216803.0
108,2015-06-01,252759.0
109,2015-05-01,211139.0
110,2015-04-01,220091.0
111,2015-03-01,249239.0
112,2015-02-01,206166.0
113,2015-01-01,200582.0
114,2014-12-01,240457.0
115,2014-11-01,216401.0
116,2014-10-01,238710.0
117,2014-09-01,249698.0
118,2014-08-01,231195.0
119,2014-07-01,286876.0
120,2014-06-01,257228.0
121,2014-05-01,231723.0
122,2014-04-01,231365.0
123,2014-03-01,251763.0
124,2014-02-01,221433.0
125,2014-01-01,203981.0
126,2013-12-01,250119.0
127,2013-11-01,233300.0
128,2013-10-01,236784.0
129,2013-09-01,248206.0
130,2013-08-01,224074.0
131,2013-07-01,208090.0
132,2013-06-01,260225.0
133,2013-05-01,238678.0
134,2013-04-01,221353.0
135,2013-03-01,232999.0
136,2013-02-01,225639.0
137,2013-01-01,204169.0
138,2012-12-01,239368.0
139,2012-11-01,209712.0
140,2012-10-01,222736.0
141,2012-09-01,223423.0
142,2012-08-01,204001.0
143,2012-07-01,206771.0
144,2012-06-01,233259.0
145,2012-05-01,220785.0
146,2012-04-01,210894.0
147,2012-03-01,240680.0
148,2012-02-01,224922.0
149,2012-01-01,204013.0
150,2011-12-01,237529.0
151,2011-11-01,206403.0
152,2011-10-01,206574.0
153,2011-09-01,221336.0
154,2011-08-01,216719.0
155,2011-07-01,189215.0
156,2011-06-01,216548.0
157,2011-05-01,205025.0
158,2011-04-01,194922.0
159,2011-03-01,233078.0
160,2011-02-01,187466.0
161,2011-01-01,184037.0
162,2010-12-01,209011.0
163,2010-11-01,186603.0
164,2010-10-01,192327.0
165,2010-09-01,213131.0
166,2010-08-01,191888.0
167,2010-07-01,174685.0
168,2010-06-01,200080.0
169,2010-05-01,183535.0
170,2010-04-01,181528.0
171,2010-03-01,199993.0
172,2010-02-01,169065.0
173,2010-01-01,163488.0
