date,value
2024-04-30,68070.0
2024-01-31,67672.0
2023-10-31,67513.0
2023-07-31,67050.0
2023-04-30,66357.0
2023-01-31,66096.0
2022-10-31,65799.0
2022-07-31,65469.0
2022-04-30,65127.0
2022-01-31,65284.0
2021-10-31,65648.0
2021-07-31,64611.0
2021-04-30,64153.0
2021-01-31,63224.0
2020-10-31,62411.0
2020-07-31,61803.0
2020-04-30,57383.0
2020-01-31,62333.0
2019-10-31,63257.0
2019-07-31,62945.0
2019-04-30,62331.0
2019-01-31,61889.0
2018-10-31,61619.0
2018-07-31,61622.0
2018-04-30,61336.0
2018-01-31,61093.0
2017-10-31,60674.0
2017-07-31,60099.0
2017-04-30,59736.0
2017-01-31,59494.0
2016-10-31,59296.0
2016-07-31,59084.0
2016-04-30,58787.0
2016-01-31,58704.0
2015-10-31,58470.0
2015-07-31,58486.0
2015-04-30,58376.0
2015-01-31,58121.0
2014-10-31,57702.0
2014-07-31,57536.0
2014-04-30,56968.0
2014-01-31,56345.0
2013-10-31,56642.0
2013-07-31,56272.0
2013-04-30,55914.0
2013-01-31,55859.0
2012-10-31,55403.0
2012-07-31,55454.0
2012-04-30,55490.0
2012-01-31,55342.0
2011-10-31,54979.0
2011-07-31,54482.0
2011-04-30,54610.0
2011-01-31,54341.0
2010-10-31,54569.0
2010-07-31,54401.0
2010-04-30,54100.0
2010-01-31,53683.0
2009-10-31,53531.0
2009-07-31,53081.0
2009-04-30,53017.0
2009-01-31,53221.0
2008-10-31,53941.0
2008-07-31,55278.0
2008-04-30,55705.0
2008-01-31,55497.0
2007-10-31,55857.0
2007-07-31,55649.0
2007-04-30,55474.0
2007-01-31,55260.0
2006-10-31,55216.0
2006-07-31,54886.0
2006-04-30,54945.0
2006-01-31,54927.0
2005-10-31,54317.0
2005-07-31,54153.0
2005-04-30,53868.0
2005-01-31,53719.0
2004-10-31,53242.0
2004-07-31,52835.0
2004-04-30,52469.0
2004-01-31,52179.0
2003-10-31,51986.0
2003-07-31,51512.0
2003-04-30,50796.0
2003-01-31,50462.0
2002-10-31,50302.0
2002-07-31,50362.0
2002-04-30,50286.0
2002-01-31,50091.0
2001-10-31,49783.0
2001-07-31,49774.0
2001-04-30,50105.0
2001-01-31,49911.0
2000-10-31,50190.0
2000-07-31,50024.0
2000-04-30,50109.0
2000-01-31,49335.0
1999-10-31,49281.0
1999-07-31,48632.0
1999-04-30,48148.0
1999-01-31,47880.0
1998-10-31,47555.0
1998-07-31,46943.0
1998-04-30,46504.0
1998-01-31,46204.0
1997-10-31,45862.0
1997-07-31,45616.0
1997-04-30,45203.0
1997-01-31,44590.0
1996-10-31,44421.0
1996-07-31,44105.0
1996-04-30,43856.0
1996-01-31,43259.0
1995-10-31,43044.0
1995-07-31,42885.0
1995-04-30,42660.0
1995-01-31,42654.0
1994-10-31,42618.0
1994-07-31,42264.0
1994-04-30,42154.0
1994-01-31,41713.0
1993-10-31,41423.0
1993-07-31,40997.0
1993-04-30,40942.0
1993-01-31,40829.0
1992-10-31,40881.0
1992-07-31,40599.0
1992-04-30,40350.0
1992-01-31,40051.0
1991-10-31,39694.0
1991-07-31,39691.0
1991-04-30,39632.0
1991-01-31,39451.0
1990-10-31,39759.0
1990-07-31,40266.0
1990-04-30,40382.0
1990-01-31,40361.0
1989-10-31,40015.0
1989-07-31,40046.0
1989-04-30,39861.0
1989-01-31,39648.0
1988-10-31,39328.0
1988-07-31,38908.0
1988-04-30,38782.0
1988-01-31,38359.0
1987-10-31,38238.0
1987-07-31,37685.0
1987-04-30,37454.0
1987-01-31,37132.0
1986-10-31,36931.0
1986-07-31,36822.0
1986-04-30,36563.0
1986-01-31,36476.0
1985-10-31,36210.0
1985-07-31,36033.0
1985-04-30,35582.0
1985-01-31,35346.0
1984-10-31,35072.0
1984-07-31,34871.0
1984-04-30,34622.0
1984-01-31,34103.0
1983-10-31,33513.0
1983-07-31,32906.0
1983-04-30,32340.0
1983-01-31,31686.0
1982-10-31,31337.0
1982-07-31,31402.0
1982-04-30,31603.0
1982-01-31,31529.0
1981-10-31,32095.0
1981-07-31,32533.0
1981-04-30,32236.0
1981-01-31,32550.0
1980-10-31,31990.0
1980-07-31,31489.0
1980-04-30,31621.0
1980-01-31,32377.0
1979-10-31,32366.0
1979-07-31,32386.0
1979-04-30,32244.0
1979-01-31,32294.0
1978-10-31,32318.0
1978-07-31,31982.0
1978-04-30,31757.0
1978-01-31,30653.0
1977-10-31,30626.0
1977-07-31,30713.0
1977-04-30,30254.0
1977-01-31,29749.0
1976-10-31,29469.0
1976-07-31,29335.0
1976-04-30,29250.0
1976-01-31,29099.0
1975-10-31,28520.0
1975-07-31,28214.0
1975-04-30,27821.0
1975-01-31,27690.0
1974-10-31,28088.0
1974-07-31,28270.0
1974-04-30,28613.0
1974-01-31,28606.0
1973-10-31,28913.0
1973-07-31,28711.0
1973-04-30,28935.0
1973-01-31,28687.0
1972-10-31,28055.0
1972-07-31,27666.0
1972-04-30,27478.0
1972-01-31,26932.0
1971-10-31,26510.0
1971-07-31,26529.0
1971-04-30,26394.0
1971-01-31,26328.0
1970-10-31,25710.0
1970-07-31,26079.0
1970-04-30,25929.0
1970-01-31,25973.0
1969-10-31,26076.0
1969-07-31,26281.0
1969-04-30,26181.0
1969-01-31,26162.0
1968-10-31,25813.0
1968-07-31,25781.0
1968-04-30,25652.0
1968-01-31,25288.0
1967-10-31,24836.0
1967-07-31,24719.0
1967-04-30,24556.0
1967-01-31,24602.0
1966-10-31,24446.0
1966-07-31,24321.0
1966-04-30,24191.0
1966-01-31,24172.0
1965-10-31,23656.0
1965-07-31,23198.0
1965-04-30,22770.0
1965-01-31,22547.0
1964-10-31,22075.0
1964-07-31,22085.0
1964-04-30,21824.0
1964-01-31,21657.0
1963-10-31,21276.0
1963-07-31,21219.0
1963-04-30,20842.0
1963-01-31,20677.0
1962-10-31,20521.0
1962-07-31,20536.0
1962-04-30,20366.0
1962-01-31,20254.0
1961-10-31,19970.0
1961-07-31,19670.0
1961-04-30,19380.0
1961-01-31,19130.0
1960-10-31,19065.0
1960-07-31,19390.0
1960-04-30,19392.0
1960-01-31,19614.0
1959-10-31,19296.0
1959-07-31,19326.0
1959-04-30,19395.0
1959-01-31,19041.0
1958-10-31,18764.0
1958-07-31,18419.0
1958-04-30,18081.0
1958-01-31,18032.0
1957-10-31,18582.0
1957-07-31,18862.0
1957-04-30,18763.0
1957-01-31,18881.0
1956-10-31,18845.0
1956-07-31,18632.0
1956-04-30,18736.0
1956-01-31,18658.0
1955-10-31,18808.0
1955-07-31,18787.0
1955-04-30,18621.0
1955-01-31,18396.0
1954-10-31,17960.0
1954-07-31,17701.0
1954-04-30,17584.0
1954-01-31,17636.0
1953-10-31,17797.0
1953-07-31,18155.0
1953-04-30,18341.0
1953-01-31,18268.0
1952-10-31,18001.0
1952-07-31,17509.0
1952-04-30,17459.0
1952-01-31,17490.0
1951-10-31,17375.0
1951-07-31,17420.0
1951-04-30,17147.0
1951-01-31,16922.0
1950-10-31,16764.0
1950-07-31,16524.0
1950-04-30,15977.0
1950-01-31,15559.0
1949-10-31,15032.0
1949-07-31,15228.0
1949-04-30,15137.0
1949-01-31,15250.0
1948-10-31,15530.0
1948-07-31,15585.0
1948-04-30,15563.0
1948-01-31,15371.0
1947-10-31,15204.0
1947-07-31,15039.0
1947-04-30,15139.0
1947-01-31,15248.0
