,date,value
0,2024-07-31,158445
1,2024-06-30,159360
2,2024-05-31,158842
3,2024-04-30,158001
4,2024-03-31,157210
5,2024-02-29,156551
6,2024-01-31,155432
7,2023-12-31,158269
8,2023-11-30,158347
9,2023-10-31,157878
10,2023-09-30,156845
11,2023-08-31,156355
12,2023-07-31,155981
13,2023-06-30,156842
14,2023-05-31,156132
15,2023-04-30,155201
16,2023-03-31,154253
17,2023-02-28,153817
18,2023-01-31,152688
19,2022-12-31,155211
20,2022-11-30,155519
21,2022-10-31,154936
22,2022-09-30,153730
23,2022-08-31,153208
24,2022-07-31,152813
25,2022-06-30,153175
26,2022-05-31,152264
27,2022-04-30,151434
28,2022-03-31,150411
29,2022-02-28,149606
30,2022-01-31,147932
31,2021-12-31,150740
32,2021-11-30,150543
33,2021-10-31,149605
34,2021-09-30,147917
35,2021-08-31,147159
36,2021-07-31,146619
37,2021-06-30,146626
38,2021-05-31,145392
39,2021-04-30,144402
40,2021-03-31,143308
41,2021-02-28,142129
42,2021-01-31,140974
43,2020-12-31,143604
44,2020-11-30,144116
45,2020-10-31,143564
46,2020-09-30,141957
47,2020-08-31,140727
48,2020-07-31,139105
49,2020-06-30,138507
50,2020-05-31,133422
51,2020-04-30,130253
52,2020-03-31,149952
53,2020-02-29,150967
54,2020-01-31,150056
55,2019-12-31,152845
56,2019-11-30,153095
57,2019-10-31,152500
58,2019-09-30,151510
59,2019-08-31,151094
60,2019-07-31,150658
61,2019-06-30,151714
62,2019-05-31,151093
63,2019-04-30,150422
64,2019-03-31,149360
65,2019-02-28,148683
66,2019-01-31,147878
67,2018-12-31,150831
68,2018-11-30,151032
69,2018-10-31,150553
70,2018-09-30,149545
71,2018-08-31,149236
72,2018-07-31,148767
73,2018-06-30,149930
74,2018-05-31,149264
75,2018-04-30,148329
76,2018-03-31,147352
77,2018-02-28,146649
78,2018-01-31,145412
79,2017-12-31,148509
80,2017-11-30,148758
81,2017-10-31,148182
82,2017-09-30,147169
83,2017-08-31,146782
84,2017-07-31,146464
85,2017-06-30,147566
86,2017-05-31,146924
87,2017-04-30,146086
88,2017-03-31,145062
89,2017-02-28,144405
90,2017-01-31,143376
91,2016-12-31,146252
92,2016-11-30,146465
93,2016-10-31,146032
94,2016-09-30,145150
95,2016-08-31,144485
96,2016-07-31,144232
97,2016-06-30,145205
98,2016-05-31,144540
99,2016-04-30,143893
100,2016-03-31,142797
101,2016-02-29,141901
102,2016-01-31,141072
103,2015-12-31,144045
104,2015-11-30,144049
105,2015-10-31,143626
106,2015-09-30,142477
107,2015-08-31,141921
108,2015-07-31,141729
109,2015-06-30,142681
110,2015-05-31,142205
111,2015-04-30,141264
112,2015-03-31,140080
113,2015-02-28,139323
114,2015-01-31,138491
115,2014-12-31,141306
116,2014-11-30,141314
117,2014-10-31,140848
118,2014-09-30,139793
119,2014-08-31,139105
120,2014-07-31,138727
121,2014-06-30,139804
122,2014-05-31,139217
123,2014-04-30,138306
124,2014-03-31,137169
125,2014-02-28,136211
126,2014-01-31,135471
127,2013-12-31,138274
128,2013-11-30,138525
129,2013-10-31,138001
130,2013-09-30,137077
131,2013-08-31,136471
132,2013-07-31,136034
133,2013-06-30,137209
134,2013-05-31,136797
135,2013-04-30,135905
136,2013-03-31,134901
137,2013-02-28,134102
138,2013-01-31,133063
139,2012-12-31,135947
140,2012-11-30,136023
141,2012-10-31,135633
142,2012-09-30,134783
143,2012-08-31,134156
144,2012-07-31,133778
145,2012-06-30,134986
146,2012-05-31,134648
147,2012-04-30,133836
148,2012-03-31,132954
149,2012-02-29,132050
150,2012-01-31,131094
151,2011-12-31,133701
152,2011-11-30,133876
153,2011-10-31,133540
154,2011-09-30,132617
155,2011-08-31,131870
156,2011-07-31,131599
157,2011-06-30,132871
158,2011-05-31,132382
159,2011-04-30,131698
160,2011-03-31,130482
161,2011-02-28,129576
162,2011-01-31,128760
163,2010-12-31,131622
164,2010-11-30,131930
165,2010-10-31,131624
166,2010-09-30,130650
167,2010-08-31,130158
168,2010-07-31,130094
169,2010-06-30,131431
170,2010-05-31,131313
171,2010-04-30,130195
172,2010-03-31,129073
173,2010-02-28,128240
174,2010-01-31,127804
175,2009-12-31,130673
176,2009-11-30,131220
177,2009-10-31,131172
178,2009-09-30,130571
179,2009-08-31,130216
180,2009-07-31,130337
181,2009-06-30,131933
182,2009-05-31,132114
183,2009-04-30,131842
184,2009-03-31,131659
185,2009-02-28,131792
186,2009-01-31,132021
187,2008-12-31,135713
188,2008-11-30,136744
189,2008-10-31,137424
190,2008-09-30,137130
191,2008-08-31,137077
192,2008-07-31,137184
193,2008-06-30,138665
194,2008-05-31,138470
195,2008-04-30,137894
196,2008-03-31,137361
197,2008-02-29,136770
198,2008-01-31,136252
199,2007-12-31,139279
200,2007-11-30,139494
201,2007-10-31,139181
202,2007-09-30,138435
203,2007-08-31,137872
204,2007-07-31,137760
205,2007-06-30,139156
206,2007-05-31,138654
207,2007-04-30,137712
208,2007-03-31,136907
209,2007-02-28,136008
210,2007-01-31,135317
211,2006-12-31,138107
212,2006-11-30,138217
213,2006-10-31,137831
214,2006-09-30,137129
215,2006-08-31,136462
216,2006-07-31,136256
217,2006-06-30,137432
218,2006-05-31,136927
219,2006-04-30,136124
220,2006-03-31,135209
221,2006-02-28,134229
222,2006-01-31,133302
223,2005-12-31,135954
224,2005-11-30,136158
225,2005-10-31,135599
226,2005-09-30,134869
227,2005-08-31,134244
228,2005-07-31,133993
229,2005-06-30,135053
230,2005-05-31,134384
231,2005-04-30,133571
232,2005-03-31,132358
233,2005-02-28,131519
234,2005-01-31,130695
235,2004-12-31,133399
236,2004-11-30,133630
237,2004-10-31,133380
238,2004-09-30,132398
239,2004-08-31,131685
240,2004-07-31,131664
241,2004-06-30,132824
242,2004-05-31,132380
243,2004-04-30,131477
244,2004-03-31,130361
245,2004-02-29,129320
246,2004-01-31,128709
247,2003-12-31,131368
248,2003-11-30,131548
249,2003-10-31,131383
250,2003-09-30,130590
251,2003-08-31,129935
252,2003-07-31,129884
253,2003-06-30,131221
254,2003-05-31,130892
255,2003-04-30,130131
256,2003-03-31,129474
257,2003-02-28,128977
258,2003-01-31,128561
259,2002-12-31,131242
260,2002-11-30,131651
261,2002-10-31,131530
262,2002-09-30,130859
263,2002-08-31,130341
264,2002-07-31,130255
265,2002-06-30,131695
266,2002-05-31,131314
267,2002-04-30,130543
268,2002-03-31,129955
269,2002-02-28,129347
270,2002-01-31,128876
271,2001-12-31,131758
272,2001-11-30,132142
273,2001-10-31,132329
274,2001-09-30,132128
275,2001-08-31,131860
276,2001-07-31,131931
277,2001-06-30,133421
278,2001-05-31,133042
279,2001-04-30,132335
280,2001-03-31,131929
281,2001-02-28,131334
282,2001-01-31,130667
283,2000-12-31,133541
284,2000-11-30,133601
285,2000-10-31,133236
286,2000-09-30,132677
287,2000-08-31,132009
288,2000-07-31,131997
289,2000-06-30,133218
290,2000-05-31,132706
291,2000-04-30,131749
292,2000-03-31,130752
293,2000-02-29,129655
294,2000-01-31,128993
295,1999-12-31,131633
296,1999-11-30,131496
297,1999-10-31,131038
298,1999-09-30,130102
299,1999-08-31,129325
300,1999-07-31,129268
301,1999-06-30,130137
302,1999-05-31,129412
303,1999-04-30,128544
304,1999-03-31,127399
305,1999-02-28,126684
306,1999-01-31,125697
307,1998-12-31,128448
308,1998-11-30,128278
309,1998-10-31,127877
310,1998-09-30,127098
311,1998-08-31,126287
312,1998-07-31,126047
313,1998-06-30,127118
314,1998-05-31,126456
315,1998-04-30,125372
316,1998-03-31,124332
317,1998-02-28,123608
318,1998-01-31,122832
319,1997-12-31,125383
320,1997-11-30,125245
321,1997-10-31,124851
322,1997-09-30,123948
323,1997-08-31,122944
324,1997-07-31,122876
325,1997-06-30,123861
326,1997-05-31,123211
327,1997-04-30,122132
328,1997-03-31,121155
329,1997-02-28,120274
330,1997-01-31,119413
331,1996-12-31,121955
332,1996-11-30,121976
333,1996-10-31,121516
334,1996-09-30,120795
335,1996-08-31,120051
336,1996-07-31,119758
337,1996-06-30,120795
338,1996-05-31,120132
339,1996-04-30,119005
340,1996-03-31,118167
341,1996-02-29,117364
342,1996-01-31,116423
343,1995-12-31,119123
344,1995-11-30,119125
345,1995-10-31,118888
346,1995-09-30,118286
347,1995-08-31,117370
348,1995-07-31,117106
349,1995-06-30,118340
350,1995-05-31,117625
351,1995-04-30,116902
352,1995-03-31,116071
353,1995-02-28,115315
354,1995-01-31,114655
355,1994-12-31,116964
356,1994-11-30,116926
357,1994-10-31,116318
358,1994-09-30,115693
359,1994-08-31,114634
360,1994-07-31,114324
361,1994-06-30,115271
362,1994-05-31,114479
363,1994-04-30,113467
364,1994-03-31,112389
365,1994-02-28,111414
366,1994-01-31,110833
367,1993-12-31,113084
368,1993-11-30,112935
369,1993-10-31,112591
370,1993-09-30,111926
371,1993-08-31,110935
372,1993-07-31,110825
373,1993-06-30,111693
374,1993-05-31,111103
375,1993-04-30,110140
376,1993-03-31,109136
377,1993-02-28,108701
378,1993-01-31,108098
379,1992-12-31,110265
380,1992-11-30,110275
381,1992-10-31,110036
382,1992-09-30,109449
383,1992-08-31,108664
384,1992-07-31,108608
385,1992-06-30,109626
386,1992-05-31,109137
387,1992-04-30,108331
388,1992-03-31,107494
389,1992-02-29,106977
390,1992-01-31,106723
391,1991-12-31,109110
392,1991-11-30,109226
393,1991-10-31,109210
394,1991-09-30,108840
395,1991-08-31,108123
396,1991-07-31,108033
397,1991-06-30,109234
398,1991-05-31,108752
399,1991-04-30,108071
400,1991-03-31,107681
401,1991-02-28,107392
402,1991-01-31,107425
403,1990-12-31,109974
404,1990-11-30,110205
405,1990-10-31,110240
406,1990-09-30,110044
407,1990-08-31,109449
408,1990-07-31,109567
409,1990-06-30,110838
410,1990-05-31,110271
411,1990-04-30,109366
412,1990-03-31,108724
413,1990-02-28,108069
414,1990-01-31,107573
415,1989-12-31,109666
416,1989-11-30,109657
417,1989-10-31,109217
418,1989-09-30,108724
419,1989-08-31,107927
420,1989-07-31,107848
421,1989-06-30,108937
422,1989-05-31,108294
423,1989-04-30,107611
424,1989-03-31,106813
425,1989-02-28,106170
426,1989-01-31,105743
427,1988-12-31,107722
428,1988-11-30,107500
429,1988-10-31,107013
430,1988-09-30,106341
431,1988-08-31,105477
432,1988-07-31,105315
433,1988-06-30,106208
434,1988-05-31,105347
435,1988-04-30,104587
436,1988-03-31,103693
437,1988-02-29,102951
438,1988-01-31,102380
439,1987-12-31,104472
440,1987-11-30,104232
441,1987-10-31,103893
442,1987-09-30,102986
443,1987-08-31,102219
444,1987-07-31,101990
445,1987-06-30,102742
446,1987-05-31,102135
447,1987-04-30,101369
448,1987-03-31,100367
449,1987-02-28,99657
450,1987-01-31,99334
451,1986-12-31,101300
452,1986-11-30,101141
453,1986-10-31,100886
454,1986-09-30,100317
455,1986-08-31,99393
456,1986-07-31,99219
457,1986-06-30,99973
458,1986-05-31,99667
459,1986-04-30,98973
460,1986-03-31,98138
461,1986-02-28,97590
462,1986-01-31,97397
463,1985-12-31,99356
464,1985-11-30,99240
465,1985-10-31,98987
466,1985-09-30,98476
467,1985-08-31,97667
468,1985-07-31,97418
469,1985-06-30,98279
470,1985-05-31,97726
471,1985-04-30,96875
472,1985-03-31,96055
473,1985-02-28,95259
474,1985-01-31,95049
475,1984-12-31,96793
476,1984-11-30,96738
477,1984-10-31,96362
478,1984-09-30,95808
479,1984-08-31,94888
480,1984-07-31,94607
481,1984-06-30,95305
482,1984-05-31,94489
483,1984-04-30,93614
484,1984-03-31,92659
485,1984-02-29,91940
486,1984-01-31,91374
487,1983-12-31,92863
488,1983-11-30,92592
489,1983-10-31,92233
490,1983-09-30,91719
491,1983-08-31,89998
492,1983-07-31,90271
493,1983-06-30,90844
494,1983-05-31,90019
495,1983-04-30,89187
496,1983-03-31,88344
497,1983-02-28,87741
498,1983-01-31,87729
499,1982-12-31,89396
500,1982-11-30,89495
501,1982-10-31,89598
502,1982-09-30,89628
503,1982-08-31,89212
504,1982-07-31,89338
505,1982-06-30,90669
506,1982-05-31,90478
507,1982-04-30,89993
508,1982-03-31,89710
509,1982-02-28,89417
510,1982-01-31,89328
511,1981-12-31,91555
512,1981-11-30,91888
513,1981-10-31,92054
514,1981-09-30,91876
515,1981-08-31,91378
516,1981-07-31,91371
517,1981-06-30,92296
518,1981-05-31,91647
519,1981-04-30,91157
520,1981-03-31,90520
521,1981-02-28,89985
522,1981-01-31,89837
523,1980-12-31,91661
524,1980-11-30,91475
525,1980-10-31,91128
526,1980-09-30,90530
527,1980-08-31,89865
528,1980-07-31,89582
529,1980-06-30,90922
530,1980-05-31,90763
531,1980-04-30,90747
532,1980-03-31,90324
533,1980-02-29,89764
534,1980-01-31,89631
535,1979-12-31,91415
536,1979-11-30,91287
537,1979-10-31,91089
538,1979-09-30,90616
539,1979-08-31,90072
540,1979-07-31,89976
541,1979-06-30,90971
542,1979-05-31,90126
543,1979-04-30,89313
544,1979-03-31,88792
545,1979-02-28,87889
546,1979-01-31,87650
547,1978-12-31,89408
548,1978-11-30,89099
549,1978-10-31,88549
550,1978-09-30,87932
551,1978-08-31,87305
552,1978-07-31,87002
553,1978-06-30,87830
554,1978-05-31,86842
555,1978-04-30,86037
556,1978-03-31,84732
557,1978-02-28,83738
558,1978-01-31,83442
559,1977-12-31,85105
560,1977-11-30,84868
561,1977-10-31,84423
562,1977-09-30,83922
563,1977-08-31,82971
564,1977-07-31,82677
565,1977-06-30,83338
566,1977-05-31,82376
567,1977-04-30,81539
568,1977-03-31,80604
569,1977-02-28,79747
570,1977-01-31,79540
571,1976-12-31,81129
572,1976-11-30,80953
573,1976-10-31,80593
574,1976-09-30,80362
575,1976-08-31,79659
576,1976-07-31,79393
577,1976-06-30,80164
578,1976-05-31,79534
579,1976-04-30,79042
580,1976-03-31,78214
581,1976-02-29,77605
582,1976-01-31,77376
583,1975-12-31,78726
584,1975-11-30,78437
585,1975-10-31,78283
586,1975-09-30,77726
587,1975-08-31,77120
588,1975-07-31,76592
589,1975-06-30,77270
590,1975-05-31,76774
591,1975-04-30,76142
592,1975-03-31,75808
593,1975-02-28,75764
594,1975-01-31,76189
595,1974-12-31,78419
596,1974-11-30,79060
597,1974-10-31,79381
598,1974-09-30,79084
599,1974-08-31,78584
600,1974-07-31,78438
601,1974-06-30,79336
602,1974-05-31,78637
603,1974-04-30,78035
604,1974-03-31,77485
605,1974-02-28,77163
606,1974-01-31,77045
607,1973-12-31,78839
608,1973-11-30,78707
609,1973-10-31,78306
610,1973-09-30,77682
611,1973-08-31,77095
612,1973-07-31,76691
613,1973-06-30,77630
614,1973-05-31,76712
615,1973-04-30,76132
616,1973-03-31,75544
617,1973-02-28,74989
618,1973-01-31,74613
619,1972-12-31,76078
620,1972-11-30,75704
621,1972-10-31,75290
622,1972-09-30,74612
623,1972-08-31,74054
624,1972-07-31,73502
625,1972-06-30,74507
626,1972-05-31,73525
627,1972-04-30,72894
628,1972-03-31,72261
629,1972-02-29,71668
630,1972-01-31,71481
631,1971-12-31,72880
632,1971-11-30,72479
633,1971-10-31,72180
634,1971-09-30,71931
635,1971-08-31,71298
636,1971-07-31,71194
637,1971-06-30,72006
638,1971-05-31,71287
639,1971-04-30,70795
640,1971-03-31,70209
641,1971-02-28,69844
642,1971-01-31,69922
643,1970-12-31,71564
644,1970-11-30,70983
645,1970-10-31,71022
646,1970-09-30,71257
647,1970-08-31,70900
648,1970-07-31,71000
649,1970-06-30,71766
650,1970-05-31,71123
651,1970-04-30,71105
652,1970-03-31,70786
653,1970-02-28,70332
654,1970-01-31,70229
655,1969-12-31,72041
