date,value
2024-07-31,627510.0
2024-06-30,604742.0
2024-05-31,643843.0
2024-04-30,605419.0
2024-03-31,609462.0
2024-02-29,555528.0
2024-01-31,552441.0
2023-12-31,668957.0
2023-11-30,619189.0
2023-10-31,604435.0
2023-09-30,589258.0
2023-08-31,624457.0
2023-07-31,601631.0
2023-06-30,608430.0
2023-05-31,627266.0
2023-04-30,584626.0
2023-03-31,600348.0
2023-02-28,526218.0
2023-01-31,545318.0
2022-12-31,649106.0
2022-11-30,599732.0
2022-10-31,591560.0
2022-09-30,572457.0
2022-08-31,608423.0
2022-07-31,595135.0
2022-06-30,605074.0
2022-05-31,612080.0
2022-04-30,592577.0
2022-03-31,595064.0
2022-02-28,505128.0
2022-01-31,514659.0
2021-12-31,625145.0
2021-11-30,573608.0
2021-10-31,552729.0
2021-09-30,528288.0
2021-08-31,549895.0
2021-07-31,552194.0
2021-06-30,557682.0
2021-05-31,565431.0
2021-04-30,554610.0
2021-03-31,560731.0
2021-02-28,437538.0
2021-01-31,461994.0
2020-12-31,557046.0
2020-11-30,490451.0
2020-10-31,493034.0
2020-09-30,473267.0
2020-08-31,486727.0
2020-07-31,492070.0
2020-06-30,478936.0
2020-05-31,461122.0
2020-04-30,376261.0
2020-03-31,425698.0
2020-02-29,413857.0
2020-01-31,417244.0
2019-12-31,518796.0
2019-11-30,467368.0
2019-10-31,455157.0
2019-09-30,428472.0
2019-08-31,472933.0
2019-07-31,461608.0
2019-06-30,448131.0
2019-05-31,475630.0
2019-04-30,442504.0
2019-03-31,446781.0
2019-02-28,384814.0
2019-01-31,399276.0
2018-12-31,493444.0
2018-11-30,459625.0
2018-10-31,442154.0
2018-09-30,417148.0
2018-08-31,456103.0
2018-07-31,441712.0
2018-06-30,443762.0
2018-05-31,464422.0
2018-04-30,420206.0
2018-03-31,444725.0
2018-02-28,380456.0
2018-01-31,389624.0
2017-12-31,496688.0
2017-11-30,441896.0
2017-10-31,417757.0
2017-09-30,412534.0
2017-08-31,431816.0
2017-07-31,416927.0
2017-06-30,423102.0
2017-05-31,434531.0
2017-04-30,407275.0
2017-03-31,423024.0
2017-02-28,365596.0
2017-01-31,369068.0
2016-12-31,481923.0
2016-11-30,413841.0
2016-10-31,397328.0
2016-09-30,394122.0
2016-08-31,416410.0
2016-07-31,405871.0
2016-06-30,409963.0
2016-05-31,412916.0
2016-04-30,394629.0
2016-03-31,404873.0
2016-02-29,363412.0
2016-01-31,351667.0
2015-12-31,463894.0
2015-11-30,395988.0
2015-10-31,392551.0
2015-09-30,381959.0
2015-08-31,404903.0
2015-07-31,406543.0
2015-06-30,397804.0
2015-05-31,409460.0
2015-04-30,387360.0
2015-03-31,393097.0
2015-02-28,341829.0
2015-01-31,350274.0
2014-12-31,451049.0
2014-11-30,391470.0
2014-10-31,388364.0
2014-09-30,374381.0
2014-08-31,401432.0
2014-07-31,394680.0
2014-06-30,385463.0
2014-05-31,408258.0
2014-04-30,383796.0
2014-03-31,383540.0
2014-02-28,337453.0
2014-01-31,340439.0
2013-12-31,430538.0
2013-11-30,378665.0
2013-10-31,369753.0
2013-09-30,352655.0
2013-08-31,388208.0
2013-07-31,376960.0
2013-06-30,369305.0
2013-05-31,389674.0
2013-04-30,362960.0
2013-03-31,374161.0
2013-02-28,332469.0
2013-01-31,333694.0
2012-12-31,416807.0
2012-11-30,368593.0
2012-10-31,355823.0
2012-09-30,342582.0
2012-08-31,372986.0
2012-07-31,351520.0
2012-06-30,356083.0
2012-05-31,373129.0
2012-04-30,349194.0
2012-03-31,368502.0
2012-02-29,331470.0
2012-01-31,315540.0
2011-12-31,408910.0
2011-11-30,351517.0
2011-10-31,337067.0
2011-09-30,333642.0
2011-08-31,352224.0
2011-07-31,341381.0
2011-06-30,346620.0
2011-05-31,348979.0
2011-04-30,339014.0
2011-03-31,345052.0
2011-02-28,299920.0
2011-01-31,298626.0
2010-12-31,386878.0
2010-11-30,328381.0
2010-10-31,315059.0
2010-09-30,307638.0
2010-08-31,322319.0
2010-07-31,320915.0
2010-06-30,319183.0
2010-05-31,324820.0
2010-04-30,316940.0
2010-03-31,321305.0
2010-02-28,275566.0
2010-01-31,279044.0
2009-12-31,362735.0
2009-11-30,303850.0
2009-10-31,300360.0
2009-09-30,288071.0
2009-08-31,314505.0
2009-07-31,308847.0
2009-06-30,306050.0
2009-05-31,307481.0
2009-04-30,292041.0
2009-03-31,290068.0
2009-02-28,264465.0
2009-01-31,273998.0
2008-12-31,346513.0
2008-11-30,299238.0
2008-10-31,311422.0
2008-09-30,313308.0
2008-08-31,342443.0
2008-07-31,344158.0
2008-06-30,339791.0
2008-05-31,357277.0
2008-04-30,331002.0
2008-03-31,334416.0
2008-02-29,308171.0
2008-01-31,307576.0
2007-12-31,387473.0
2007-11-30,341848.0
2007-10-31,331073.0
2007-09-30,317145.0
2007-08-31,349191.0
2007-07-31,333815.0
2007-06-30,338189.0
2007-05-31,353201.0
2007-04-30,321981.0
2007-03-31,335917.0
2007-02-28,290065.0
2007-01-31,295284.0
2006-12-31,380188.0
2006-11-30,323089.0
2006-10-31,312976.0
2006-09-30,310775.0
2006-08-31,339155.0
2006-07-31,325905.0
2006-06-30,330844.0
2006-05-31,337393.0
2006-04-30,316526.0
2006-03-31,326153.0
2006-02-28,282417.0
2006-01-31,286152.0
2005-12-31,370726.0
2005-11-30,311715.0
2005-10-31,302213.0
2005-09-30,300439.0
2005-08-31,321409.0
2005-07-31,316887.0
2005-06-30,317375.0
2005-05-31,311292.0
2005-04-30,302054.0
2005-03-31,306384.0
2005-02-28,265320.0
2005-01-31,263469.0
2004-12-31,354627.0
2004-11-30,294278.0
2004-10-31,287468.0
2004-09-30,282974.0
2004-08-31,294133.0
2004-07-31,294875.0
2004-06-30,289664.0
2004-05-31,296253.0
2004-04-30,284325.0
2004-03-31,287944.0
2004-02-29,253689.0
2004-01-31,252818.0
2003-12-31,327693.0
2003-11-30,272396.0
2003-10-31,273781.0
2003-09-30,265331.0
2003-08-31,285212.0
2003-07-31,279323.0
2003-06-30,271242.0
2003-05-31,281482.0
2003-04-30,265990.0
2003-03-31,264532.0
2003-02-28,233478.0
2003-01-31,242271.0
2002-12-31,308821.0
2002-11-30,263738.0
2002-10-31,259945.0
2002-09-30,246350.0
2002-08-31,277716.0
2002-07-31,266795.0
2002-06-30,260385.0
2002-05-31,271682.0
2002-04-30,257357.0
2002-03-31,257133.0
2002-02-28,228084.0
2002-01-31,230546.0
2001-12-31,298666.0
2001-11-30,262004.0
2001-10-31,265188.0
2001-09-30,236210.0
2001-08-31,266460.0
2001-07-31,251504.0
2001-06-30,260315.0
2001-05-31,268658.0
2001-04-30,249062.0
2001-03-31,253439.0
2001-02-28,223971.0
2001-01-31,226791.0
2000-12-31,294197.0
2000-11-30,252145.0
2000-10-31,245167.0
2000-09-30,243624.0
2000-08-31,257487.0
2000-07-31,244445.0
2000-06-30,255066.0
2000-05-31,257581.0
2000-04-30,239051.0
2000-03-31,253717.0
2000-02-29,227087.0
2000-01-31,213709.0
1999-12-31,293013.0
1999-11-30,240857.0
1999-10-31,233193.0
1999-09-30,230665.0
1999-08-31,240478.0
1999-07-31,236992.0
1999-06-30,236830.0
1999-05-31,237462.0
1999-04-30,227109.0
1999-03-31,230230.0
1999-02-28,199451.0
1999-01-31,196810.0
1998-12-31,265618.0
1998-11-30,218969.0
1998-10-31,220499.0
1998-09-30,208915.0
1998-08-31,216605.0
1998-07-31,217687.0
1998-06-30,220867.0
1998-05-31,221155.0
1998-04-30,212262.0
1998-03-31,207973.0
1998-02-28,183767.0
1998-01-31,187445.0
1997-12-31,249389.0
1997-11-30,207533.0
1997-10-31,210145.0
1997-09-30,201415.0
1997-08-31,211952.0
1997-07-31,208856.0
1997-06-30,205491.0
1997-05-31,211516.0
1997-04-30,199219.0
1997-03-31,203750.0
1997-02-28,178428.0
1997-01-31,181073.0
1996-12-31,237478.0
1996-11-30,203621.0
1996-10-31,201927.0
1996-09-30,189424.0
1996-08-31,204270.0
1996-07-31,197140.0
1996-06-30,196842.0
1996-05-31,205797.0
1996-04-30,191886.0
1996-03-31,191851.0
1996-02-29,173941.0
1996-01-31,167372.0
1995-12-31,227552.0
1995-11-30,193405.0
1995-10-31,184276.0
1995-09-30,182521.0
1995-08-31,193370.0
1995-07-31,182909.0
1995-06-30,191609.0
1995-05-31,190269.0
1995-04-30,176635.0
1995-03-31,181910.0
1995-02-28,155156.0
1995-01-31,158004.0
1994-12-31,221549.0
1994-11-30,184272.0
1994-10-31,178642.0
1994-09-30,175128.0
1994-08-31,182445.0
1994-07-31,173198.0
1994-06-30,178509.0
1994-05-31,175527.0
1994-04-30,170795.0
