,date,value
0,2024-07-01,4.25
1,2024-06-01,4.31
2,2024-05-01,4.48
3,2024-04-01,4.54
4,2024-03-01,4.21
5,2024-02-01,4.21
6,2024-01-01,4.06
7,2023-12-01,4.02
8,2023-11-01,4.5
9,2023-10-01,4.8
10,2023-09-01,4.38
11,2023-08-01,4.17
12,2023-07-01,3.9
13,2023-06-01,3.75
14,2023-05-01,3.57
15,2023-04-01,3.46
16,2023-03-01,3.66
17,2023-02-01,3.75
18,2023-01-01,3.53
19,2022-12-01,3.62
20,2022-11-01,3.89
21,2022-10-01,3.98
22,2022-09-01,3.52
23,2022-08-01,2.9
24,2022-07-01,2.9
25,2022-06-01,3.14
26,2022-05-01,2.9
27,2022-04-01,2.75
28,2022-03-01,2.13
29,2022-02-01,1.93
30,2022-01-01,1.76
31,2021-12-01,1.47
32,2021-11-01,1.56
33,2021-10-01,1.58
34,2021-09-01,1.37
35,2021-08-01,1.28
36,2021-07-01,1.32
37,2021-06-01,1.52
38,2021-05-01,1.62
39,2021-04-01,1.64
40,2021-03-01,1.61
41,2021-02-01,1.26
42,2021-01-01,1.08
43,2020-12-01,0.93
44,2020-11-01,0.87
45,2020-10-01,0.79
46,2020-09-01,0.68
47,2020-08-01,0.65
48,2020-07-01,0.62
49,2020-06-01,0.73
50,2020-05-01,0.67
51,2020-04-01,0.66
52,2020-03-01,0.87
53,2020-02-01,1.5
54,2020-01-01,1.76
55,2019-12-01,1.86
56,2019-11-01,1.81
57,2019-10-01,1.71
58,2019-09-01,1.7
59,2019-08-01,1.63
60,2019-07-01,2.06
61,2019-06-01,2.07
62,2019-05-01,2.4
63,2019-04-01,2.53
64,2019-03-01,2.57
65,2019-02-01,2.68
66,2019-01-01,2.71
67,2018-12-01,2.83
68,2018-11-01,3.12
69,2018-10-01,3.15
70,2018-09-01,3.0
71,2018-08-01,2.89
72,2018-07-01,2.89
73,2018-06-01,2.91
74,2018-05-01,2.98
75,2018-04-01,2.87
76,2018-03-01,2.84
77,2018-02-01,2.86
78,2018-01-01,2.58
79,2017-12-01,2.4
80,2017-11-01,2.35
81,2017-10-01,2.36
82,2017-09-01,2.2
83,2017-08-01,2.21
84,2017-07-01,2.32
85,2017-06-01,2.19
86,2017-05-01,2.3
87,2017-04-01,2.3
88,2017-03-01,2.48
89,2017-02-01,2.42
90,2017-01-01,2.43
91,2016-12-01,2.49
92,2016-11-01,2.14
93,2016-10-01,1.76
94,2016-09-01,1.63
95,2016-08-01,1.56
96,2016-07-01,1.5
97,2016-06-01,1.64
98,2016-05-01,1.81
99,2016-04-01,1.81
100,2016-03-01,1.89
101,2016-02-01,1.78
102,2016-01-01,2.09
103,2015-12-01,2.24
104,2015-11-01,2.26
105,2015-10-01,2.07
106,2015-09-01,2.17
107,2015-08-01,2.17
108,2015-07-01,2.32
109,2015-06-01,2.36
110,2015-05-01,2.2
111,2015-04-01,1.94
112,2015-03-01,2.04
113,2015-02-01,1.98
114,2015-01-01,1.88
115,2014-12-01,2.21
116,2014-11-01,2.33
117,2014-10-01,2.3
118,2014-09-01,2.53
119,2014-08-01,2.42
120,2014-07-01,2.54
121,2014-06-01,2.6
122,2014-05-01,2.56
123,2014-04-01,2.71
124,2014-03-01,2.72
125,2014-02-01,2.71
